symbol,pass,trades,wins,losses,net_pnl
BAC,45,45,0,45,-118062.45000000004
BAC,46,46,0,46,-120686.06000000004
BAC,47,47,0,47,-123309.67000000004
BAC,48,48,0,48,-125933.28000000004
BAC,49,49,0,49,-128556.89000000004
BAC,50,50,0,50,-131180.50000000006
CCL,1,2,2,0,5992.769999999993
CCL,2,4,4,0,11985.539999999986
CCL,3,6,6,0,17978.30999999998
CCL,4,8,8,0,23971.079999999973
CCL,5,10,10,0,29963.849999999966
CCL,6,12,12,0,35956.61999999996
CCL,7,14,14,0,41949.38999999995
CCL,8,16,16,0,47942.15999999994
CCL,9,18,18,0,53934.92999999993
CCL,10,20,20,0,59927.69999999992
CCL,11,22,22,0,65920.46999999991
CCL,12,24,24,0,71913.23999999992
CCL,13,26,26,0,77906.00999999992
CCL,14,28,28,0,83898.77999999993
CCL,15,30,30,0,89891.54999999993
CCL,16,32,32,0,95884.31999999993
CCL,17,34,34,0,101877.08999999994
CCL,18,36,36,0,107869.85999999994
CCL,19,38,38,0,113862.62999999995
CCL,20,40,40,0,119855.39999999995
CCL,21,42,42,0,125848.16999999995
CCL,22,44,44,0,131840.93999999994
CCL,23,46,46,0,137833.70999999993
CCL,24,48,48,0,143826.47999999992
CCL,25,50,50,0,149819.2499999999
CCL,26,52,52,0,155812.0199999999
CCL,27,54,54,0,161804.7899999999
CCL,28,56,56,0,167797.55999999988
CCL,29,58,58,0,173790.32999999987
CCL,30,60,60,0,179783.09999999986
CCL,31,62,62,0,185775.86999999985
CCL,32,64,64,0,191768.63999999984
CCL,33,66,66,0,197761.40999999983
CCL,34,68,68,0,203754.17999999982
CCL,35,70,70,0,209746.9499999998
CCL,36,72,72,0,215739.7199999998
CCL,37,74,74,0,221732.4899999998
CCL,38,76,76,0,227725.25999999978
CCL,39,78,78,0,233718.02999999977
CCL,40,80,80,0,239710.79999999976
CCL,41,82,82,0,245703.56999999975
CCL,42,84,84,0,251696.33999999973
CCL,43,86,86,0,257689.10999999972
CCL,44,88,88,0,263681.8799999997
CCL,45,90,90,0,269674.64999999973
CCL,46,92,92,0,275667.41999999975
CCL,47,94,94,0,281660.18999999977
CCL,48,96,96,0,287652.9599999998
CCL,49,98,98,0,293645.7299999998
CCL,50,100,100,0,299638.4999999998
F,1,2,2,0,6421.410000000007
F,2,4,4,0,12842.820000000014
F,3,6,6,0,19264.23000000002
F,4,8,8,0,25685.64000000003
F,5,10,10,0,32107.050000000036
F,6,12,12,0,38528.46000000004
F,7,14,14,0,44949.870000000046
F,8,16,16,0,51371.28000000005
F,9,18,18,0,57792.69000000005
F,10,20,20,0,64214.10000000006
F,11,22,22,0,70635.51000000007
F,12,24,24,0,77056.92000000009
F,13,26,26,0,83478.3300000001
F,14,28,28,0,89899.74000000012
F,15,30,30,0,96321.15000000014
F,16,32,32,0,102742.56000000016
F,17,34,34,0,109163.97000000018
F,18,36,36,0,115585.3800000002
F,19,38,38,0,122006.79000000021
F,20,40,40,0,128428.20000000023
F,21,42,42,0,134849.61000000022
F,22,44,44,0,141271.02000000022
F,23,46,46,0,147692.43000000023
F,24,48,48,0,154113.84000000023
F,25,50,50,0,160535.25000000023
F,26,52,52,0,166956.66000000024
F,27,54,54,0,173378.07000000024
F,28,56,56,0,179799.48000000024
F,29,58,58,0,186220.89000000025
F,30,60,60,0,192642.30000000025
F,31,62,62,0,199063.71000000025
F,32,64,64,0,205485.12000000026
F,33,66,66,0,211906.53000000026
F,34,68,68,0,218327.94000000026
F,35,70,70,0,224749.35000000027
F,36,72,72,0,231170.76000000027
F,37,74,74,0,237592.17000000027
F,38,76,76,0,244013.58000000028
F,39,78,78,0,250434.99000000028
F,40,80,80,0,256856.40000000029
F,41,82,82,0,263277.8100000003
F,42,84,84,0,269699.2200000003
F,43,86,86,0,276120.63000000035
F,44,88,88,0,282542.0400000004
F,45,90,90,0,288963.4500000004
F,46,92,92,0,295384.86000000045
F,47,94,94,0,301806.2700000005
F,48,96,96,0,308227.6800000005
F,49,98,98,0,314649.09000000055
F,50,100,100,0,321070.5000000006
NIO,1,2,2,0,7409.534999999993
NIO,2,4,4,0,14819.069999999985
NIO,3,6,6,0,22228.604999999974
NIO,4,8,8,0,29638.139999999963
NIO,5,10,10,0,37047.67499999995
NIO,6,12,12,0,44457.20999999994
NIO,7,14,14,0,51866.74499999993
NIO,8,16,16,0,59276.27999999992
NIO,9,18,18,0,66685.81499999992
NIO,10,20,20,0,74095.3499999999
NIO,11,22,22,0,81504.8849999999
NIO,12,24,24,0,88914.41999999988
NIO,13,26,26,0,96323.95499999987
NIO,14,28,28,0,103733.48999999986
NIO,15,30,30,0,111143.02499999985
NIO,16,32,32,0,118552.55999999984
NIO,17,34,34,0,125962.09499999983
NIO,18,36,36,0,133371.62999999983
NIO,19,38,38,0,140781.16499999983
NIO,20,40,40,0,148190.69999999984
NIO,21,42,42,0,155600.23499999984
NIO,22,44,44,0,163009.76999999984
NIO,23,46,46,0,170419.30499999985
NIO,24,48,48,0,177828.83999999985
NIO,25,50,50,0,185238.37499999985
NIO,26,52,52,0,192647.90999999986
NIO,27,54,54,0,200057.44499999986
NIO,28,56,56,0,207466.97999999986
NIO,29,58,58,0,214876.51499999987
NIO,30,60,60,0,222286.04999999987
NIO,31,62,62,0,229695.58499999988
NIO,32,64,64,0,237105.11999999988
NIO,33,66,66,0,244514.65499999988
NIO,34,68,68,0,251924.1899999999
NIO,35,70,70,0,259333.7249999999
NIO,36,72,72,0,266743.2599999999
NIO,37,74,74,0,274152.79499999987
NIO,38,76,76,0,281562.32999999984
NIO,39,78,78,0,288971.8649999998
NIO,40,80,80,0,296381.3999999998
NIO,41,82,82,0,303790.93499999976
NIO,42,84,84,0,311200.46999999974
NIO,43,86,86,0,318610.0049999997
NIO,44,88,88,0,326019.5399999997
NIO,45,90,90,0,333429.07499999966
NIO,46,92,92,0,340838.60999999964
NIO,47,94,94,0,348248.1449999996
NIO,48,96,96,0,355657.6799999996
NIO,49,98,98,0,363067.21499999956
NIO,50,100,100,0,370476.74999999953
PFE,1,2,2,0,5816.420000000009
PFE,2,4,4,0,11632.840000000018
PFE,3,6,6,0,17449.260000000028
PFE,4,8,8,0,23265.680000000037
PFE,5,10,10,0,29082.10000000005
PFE,6,12,12,0,34898.52000000006
PFE,7,14,14,0,40714.940000000075
PFE,8,16,16,0,46531.36000000009
PFE,9,18,18,0,52347.7800000001
PFE,10,20,20,0,58164.20000000011
PFE,11,22,22,0,63980.620000000126
PFE,12,24,24,0,69797.04000000012
PFE,13,26,26,0,75613.46000000012
PFE,14,28,28,0,81429.88000000012
PFE,15,30,30,0,87246.30000000012
PFE,16,32,32,0,93062.72000000012
PFE,17,34,34,0,98879.14000000012
PFE,18,36,36,0,104695.56000000011
PFE,19,38,38,0,110511.98000000011
PFE,20,40,40,0,116328.40000000011
PFE,21,42,42,0,122144.82000000011
PFE,22,44,44,0,127961.2400000001
PFE,23,46,46,0,133777.66000000012
PFE,24,48,48,0,139594.08000000013
PFE,25,50,50,0,145410.50000000015
PFE,26,52,52,0,151226.92000000016
PFE,27,54,54,0,157043.34000000017
PFE,28,56,56,0,162859.76000000018
PFE,29,58,58,0,168676.1800000002
PFE,30,60,60,0,174492.6000000002
PFE,31,62,62,0,180309.02000000022
PFE,32,64,64,0,186125.44000000024
PFE,33,66,66,0,191941.86000000025
PFE,34,68,68,0,197758.28000000026
PFE,35,70,70,0,203574.70000000027
PFE,36,72,72,0,209391.1200000003
PFE,37,74,74,0,215207.5400000003
PFE,38,76,76,0,221023.9600000003
PFE,39,78,78,0,226840.38000000032
PFE,40,80,80,0,232656.80000000034
PFE,41,82,82,0,238473.22000000035
PFE,42,84,84,0,244289.64000000036
PFE,43,86,86,0,250106.06000000038
PFE,44,88,88,0,255922.4800000004
PFE,45,90,90,0,261738.9000000004
PFE,46,92,92,0,267555.3200000004
PFE,47,94,94,0,273371.7400000004
PFE,48,96,96,0,279188.1600000004
PFE,49,98,98,0,285004.58000000037
PFE,50,100,100,0,290821.00000000035
PLUG,1,2,0,2,-3638.400600000007
PLUG,2,4,0,4,-7276.801200000015
PLUG,3,6,0,6,-10915.201800000023
PLUG,4,8,0,8,-14553.602400000029
PLUG,5,10,0,10,-18192.003000000037
PLUG,6,12,0,12,-21830.403600000045
PLUG,7,14,0,14,-25468.804200000053
PLUG,8,16,0,16,-29107.20480000006
PLUG,9,18,0,18,-32745.60540000007
PLUG,10,20,0,20,-36384.00600000008
PLUG,11,22,0,22,-40022.40660000009
PLUG,12,24,0,24,-43660.8072000001
PLUG,13,26,0,26,-47299.207800000106
PLUG,14,28,0,28,-50937.608400000114
PLUG,15,30,0,30,-54576.00900000012
PLUG,16,32,0,32,-58214.40960000013
