time,symbol,equity,pass
2025-04-17T00:00:00-04:00,AMD,0.0,45
2025-04-17T00:00:00-04:00,AMD,0.0,46
2025-04-17T00:00:00-04:00,AMD,0.0,47
2025-04-17T00:00:00-04:00,AMD,0.0,48
2025-04-17T00:00:00-04:00,AMD,0.0,49
2025-04-17T00:00:00-04:00,AMD,0.0,50
2025-04-17T00:00:00-04:00,BAC,0.0,1
2025-04-17T00:00:00-04:00,BAC,-2623.610000000001,2
2025-04-17T00:00:00-04:00,BAC,-5247.220000000002,3
2025-04-17T00:00:00-04:00,BAC,-7870.830000000004,4
2025-04-17T00:00:00-04:00,BAC,-10494.440000000004,5
2025-04-17T00:00:00-04:00,BAC,-13118.050000000005,6
2025-04-17T00:00:00-04:00,BAC,-15741.660000000005,7
2025-04-17T00:00:00-04:00,BAC,-18365.270000000008,8
2025-04-17T00:00:00-04:00,BAC,-20988.88000000001,9
2025-04-17T00:00:00-04:00,BAC,-23612.49000000001,10
2025-04-17T00:00:00-04:00,BAC,-26236.10000000001,11
2025-04-17T00:00:00-04:00,BAC,-28859.71000000001,12
2025-04-17T00:00:00-04:00,BAC,-31483.32000000001,13
2025-04-17T00:00:00-04:00,BAC,-34106.930000000015,14
2025-04-17T00:00:00-04:00,BAC,-36730.540000000015,15
2025-04-17T00:00:00-04:00,BAC,-39354.150000000016,16
2025-04-17T00:00:00-04:00,BAC,-41977.76000000002,17
2025-04-17T00:00:00-04:00,BAC,-44601.37000000002,18
2025-04-17T00:00:00-04:00,BAC,-47224.98000000002,19
2025-04-17T00:00:00-04:00,BAC,-49848.59000000002,20
2025-04-17T00:00:00-04:00,BAC,-52472.20000000002,21
2025-04-17T00:00:00-04:00,BAC,-55095.81000000002,22
2025-04-17T00:00:00-04:00,BAC,-57719.42000000002,23
2025-04-17T00:00:00-04:00,BAC,-60343.03000000002,24
2025-04-17T00:00:00-04:00,BAC,-62966.64000000002,25
2025-04-17T00:00:00-04:00,BAC,-65590.25000000003,26
